id,label,text
89,neutral,"Bamboo is the fastest growing plant on Earth and can grow up to 35 inches per day."
90,neutral,"The Statue of Liberty was a gift from France and was dedicated in October 1886."
91,neutral,"Sharks have been around for more than 400 million years, predating dinosaurs by 200 million years."
92,neutral,"The largest organ in the human body is the skin, covering about 20 square feet."
93,neutral,"A bolt of lightning can reach temperatures of roughly 30,000 Kelvin, hotter than the Sun's surface."
94,neutral,"There are approximately 7,000 languages spoken in the world today across all continents."
95,neutral,"The boiling point of water decreases at higher altitudes due to lower atmospheric pressure."
96,neutral,"Australia is both a country and a continent spanning approximately 2.97 million square miles."
97,neutral,"The average lifespan of a red blood cell is approximately 120 days before it is recycled."
98,neutral,"Venus rotates in the opposite direction to most planets, making the Sun rise in the west."
99,neutral,"The Milky Way galaxy contains an estimated 100 to 400 billion stars including our Sun."
100,neutral,"Diamonds are formed under extreme pressure and temperature about 100 miles below the Earth's surface."
