id,label,video_path,category
86,reversed,reversed/0296_testing-videos_30FPS_perspective-center_take-2_trimmed-magnet-transparent-peakaboo_reversed.mp4,magnet
87,reversed,reversed/0314_testing-videos_30FPS_perspective-center_take-2_trimmed-mirror-ball-fall_reversed.mp4,unknown
88,reversed,reversed/0332_testing-videos_30FPS_perspective-center_take-2_trimmed-paper-fall-water_reversed.mp4,unknown
89,reversed,reversed/0341_testing-videos_30FPS_perspective-center_take-2_trimmed-potato-in-water_reversed.mp4,unknown
90,reversed,reversed/0344_testing-videos_30FPS_perspective-center_take-2_trimmed-roll-behind-box_reversed.mp4,unknown
91,reversed,reversed/0347_testing-videos_30FPS_perspective-center_take-2_trimmed-roll-front-box_reversed.mp4,unknown
92,reversed,reversed/0353_testing-videos_30FPS_perspective-center_take-2_trimmed-rolling-reflection_reversed.mp4,unknown
93,reversed,reversed/0356_testing-videos_30FPS_perspective-center_take-2_trimmed-silk-cover_reversed.mp4,unknown
94,reversed,reversed/0359_testing-videos_30FPS_perspective-center_take-2_trimmed-single-cradle_reversed.mp4,unknown
95,reversed,reversed/0362_testing-videos_30FPS_perspective-center_take-2_trimmed-siphon_reversed.mp4,unknown
96,reversed,reversed/0365_testing-videos_30FPS_perspective-center_take-2_trimmed-smiley-ball-rotates_reversed.mp4,unknown
97,reversed,reversed/0374_testing-videos_30FPS_perspective-center_take-2_trimmed-teapot-rotates_reversed.mp4,unknown
98,reversed,reversed/0377_testing-videos_30FPS_perspective-center_take-2_trimmed-two-balls-pass_reversed.mp4,unknown
99,reversed,reversed/0383_testing-videos_30FPS_perspective-center_take-2_trimmed-water-in-juice_reversed.mp4,unknown
100,reversed,reversed/0395_testing-videos_30FPS_perspective-center_take-2_trimmed-weight-protects-duck_reversed.mp4,unknown
